SORTING ALGORITHM, SIZE, BEST, AVERAGE, WORST
I, 1, 0.00, 0.00, 0.00, 
I, 2, 0.00, 0.00, 0.00, 
I, 4, 0.00, 0.00, 0.00, 
I, 8, 0.00, 0.00, 0.00, 
I, 16, 0.00, 0.00, 0.00, 
I, 32, 0.00, 0.00, 0.00, 
I, 64, 0.00, 0.00, 0.00, 
I, 128, 0.00, 0.00, 0.00, 
I, 256, 0.00, 0.00, 0.00, 
I, 512, 0.00, 0.00, 0.00, 
I, 1024, 0.00, 0.00, 0.00, 
I, 2048, 0.00, 0.00, 0.00, 
I, 4096, 0.00, 0.01, 0.02, 
I, 8192, 0.00, 0.04, 0.09, 
I, 16384, 0.00, 0.21, 0.42, 
I, 32768, 0.00, 0.87, 1.84, 
I, 65536, 0.00, 3.57, 6.83, 
I, 131072, 0.00, 12.53, 26.86, 
I, 262144, 0.00, 59.37, 109.37, 
I, 524288, 0.00, 212.85, 406.92, 
I, 1048576, 0.01, NAN,NAN,
I, 2097152, 0.01, NAN,NAN,
I, 4194304, 0.02, NAN,NAN,
I, 8388608, 0.05, NAN,NAN,
I, 16777216, 0.10, NAN,NAN,
I, 33554432, 0.22, NAN,NAN,
I, 67108864, 0.42, NAN,NAN,
I, 134217728, 0.81, NAN,NAN,
I, 268435456, 1.86, NAN,NAN,
I, 536870912, 3.51, NAN,NAN,
I, 1073741824, 7.90, NAN,NAN,
I, 2147483648, 0.00, NAN,NAN,
I, 4294967296, 0.00, NAN,NAN,


SORTING ALGORITHM, SIZE, BEST, AVERAGE, WORST
S, 1, 0.00, 0.00, 0.00, 
S, 2, 0.00, 0.00, 0.00, 
S, 4, 0.00, 0.00, 0.00, 
S, 8, 0.00, 0.00, 0.00, 
S, 16, 0.00, 0.00, 0.00, 
S, 32, 0.00, 0.00, 0.00, 
S, 64, 0.00, 0.00, 0.00, 
S, 128, 0.00, 0.00, 0.00, 
S, 256, 0.00, 0.00, 0.00, 
S, 512, 0.00, 0.00, 0.00, 
S, 1024, 0.00, 0.00, 0.00, 
S, 2048, 0.00, 0.00, 0.00, 
S, 4096, 0.02, 0.02, 0.02, 
S, 8192, 0.08, 0.08, 0.09, 
S, 16384, 0.35, 0.36, 0.39, 
S, 32768, 1.41, 1.40, 1.57, 
S, 65536, 5.68, 5.64, 6.21, 
S, 131072, 22.83, 22.48, 23.78, 
S, 262144, 89.46, 89.54, 95.14, 
S, 524288, 358.67, 358.75, 380.72, 
S, 1048576, NAN,NAN,NAN,
S, 2097152, NAN,NAN,NAN,
S, 4194304, NAN,NAN,NAN,
S, 8388608, NAN,NAN,NAN,
S, 16777216, NAN,NAN,NAN,
S, 33554432, NAN,NAN,NAN,
S, 67108864, NAN,NAN,NAN,
S, 134217728, NAN,NAN,NAN,
S, 268435456, NAN,NAN,NAN,
S, 536870912, NAN,NAN,NAN,
S, 1073741824, NAN,NAN,NAN,
S, 2147483648, NAN,NAN,NAN,
S, 4294967296, NAN,NAN,NAN,


