SORTING ALGORITHM, SIZE, BEST, AVERAGE, WORST
I, 1, 0.00, 0.00, 0.00,
I, 10, 0.00, 0.00, 0.00,
I, 100, 0.00, 0.00, 0.00,
I, 1000, 0.00, 0.00, 0.00,
I, 10000, 0.00, 0.07, 0.14,
I, 100000, 0.00, 7.35, 14.86,
I, 1000000, 0.00, NAN,NAN,
I, 10000000, 0.05, NAN,NAN,
I, 100000000, 0.64, NAN,NAN,
I, 1000000000, 6.07, NAN,NAN,


SORTING ALGORITHM, SIZE, BEST, AVERAGE, WORST
S, 1, 0.00, 0.00, 0.00,
S, 10, 0.00, 0.00, 0.00,
S, 100, 0.00, 0.00, 0.00,
S, 1000, 0.00, 0.00, 0.00,
S, 10000, 0.14, 0.13, 0.14,
S, 100000, 13.30, 13.20, 14.07,
S, 1000000, NAN,NAN,NAN,
S, 10000000, NAN,NAN,NAN,
S, 100000000, NAN,NAN,NAN,
S, 1000000000, NAN,NAN,NAN,
