#Industry,#Jobs,+VS
#Industry,Urbanization,+S
#Industry,Pollution,+M
#Industry,City_Property_Sale,+M
#Jobs,#Citizens,+S
#Citizens,Urbanization,+S
#Citizens,Tax_Revenue,+VS
#Citizens,House_Market,+S
#Citizens,Overpopulation,+M
Urbanization,Green_Spaces,-S
Urbanization,#Public_Services,+S
Urbanization,Pollution,+VS
Urbanization,City_Property_Sale,+M
Tax_Revenue,City_Budget,+VS
City_Budget,School_Funding,+M
City_Budget,Economical_Growth,+M
School_Funding,Citizens_Satisfaction,+M
Citizens_Satisfaction,Work_Productivity,+VL
House_Market,House_Prices,+VS
House_Prices,Cost_of_Life,+VS
House_Prices,#Commuters,+S
House_Prices,Homelessness,+S
Cost_of_Life,Citizens_Satisfaction,-VS
Green_Spaces,Citizens_Satisfaction,+S
Green_Spaces,Floodings,-S
Economical_Growth,#Industry,+S
Economical_Growth,#Jobs,+M
Economical_Growth,Income_Inequality,+VS
#Public_Services,#Jobs,+S
Work_Productivity,Economical_Growth,+L
Income_Inequality,Citizens_Satisfaction,-VS
Overpopulation,Unemployment,+VS
Overpopulation,#Commuters,+S
Unemployment,Crime,+S
Unemployment,Homelessness,+S
Unemployment,Citizens_Satisfaction,-M
Crime,#Public_Services,-M
Crime,Citizens_Satisfaction,+VS
Homelessness,City_Budget,-S
Homelessness,Citizens_Satisfaction,-S
#Commuters,Traffic,+S
Traffic,Pollution,+VS
Traffic,Street_Infrastructure,+S
Traffic,Citizens_Satisfaction,-M
Pollution,Citizens_Satisfaction,-M
Street_Infrastructure,City_Budget,-S
Street_Infrastructure,Taxes,+M
Street_Infrastructure,Green_Spaces,-VS
Taxes,Tax_Revenue,+VS
Taxes,Citizens_Satisfaction,-S
Floodings,Citizens_Satisfaction,-S
Floodings,City_Budget,-S
Floodings,Taxes,+S
City_Property_Sale,City_Budget,+S
City_Property_Sale,Green_Spaces,-S
